State,Year2000,Year2004,Year2008,Year2012,Year2016,Year2020,Percent Change
Alabama,3.7,3.8,3.6,4.3,4.9,5.5,-0.327272727
Alaska,3.2,3.9,4.5,4.4,4.3,3.9,-0.179487179
Arizona,2.9,3.4,4.3,3.8,4.3,4.6,-0.369565217
Arkansas,3.6,3.9,5.3,5.5,6.1,6.4,-0.4375
California,,,,,,,
Colorado,2.9,3.6,4.3,4.3,4.4,4.7,-0.382978723
Connecticut,1.6,3.2,2.7,3.4,3.1,3.3,-0.515151515
Delaware,2.3,3.1,3.5,3.5,3.7,3.9,-0.41025641
District of Columbia,2.1,2.7,2.9,2.7,1.8,3.2,-0.34375
Florida,3,3.9,4.2,4.3,4.7,5.1,-0.411764706
Georgia,1.9,,,,,3.3,-0.424242424
Hawaii,,,,,,3.9,-1
Idaho,3.4,4,4.7,4.8,5,5.5,-0.381818182
Illinois,1.6,2.2,2.4,2.5,2.6,3.2,-0.5
Indiana,,,,,,,
Iowa,2.1,1.3,2.2,2.6,2.8,3.3,-0.363636364
Kansas,1.8,2.7,3.4,3.5,3.3,3.6,-0.5
Kentucky,3.1,3.8,4.1,4.6,4.9,5.1,-0.392156863
Louisiana,1.4,2,,,,,
Maine,2.4,3.4,3.9,4.2,4.3,5,-0.52
Maryland,1.7,2.7,2.8,2.8,3.2,3.3,-0.484848485
Massachusetts,1,2.3,2.7,2,2.2,2.5,-0.6
Michigan,2.1,2.9,3.3,3.4,3.5,3.9,-0.461538462
Minnesota,,,,,2.8,3.2,-1
Mississippi,3.3,3.2,4,4.3,4.5,5,-0.34
Missouri,2.7,3.3,3.7,3.7,3.8,4.5,-0.4
Montana,2.3,3.1,3.9,4.1,3.8,4.2,-0.452380952
Nebraska,2.8,3.1,3.4,3.3,3.4,3.7,-0.243243243
Nevada,3,4.3,5.5,6.4,6.3,9.9,-0.696969697
New Hampshire,2.4,3.4,3.6,3.9,4,4.8,-0.5
New Jersey,1.7,2.7,2.8,3,3,3,-0.433333333
New Mexico,,,3,4.1,4.6,5.1,-1
New York,1.8,2.7,2.9,2.8,3,3,-0.4
North Carolina,2.8,3.2,3.7,3.8,4.2,4.5,-0.377777778
North Dakota,2.4,2.6,3.1,2.9,3.1,3.4,-0.294117647
Ohio,2.5,3,3.4,3.3,3.6,4.2,-0.404761905
Oklahoma,3.5,4.4,4.8,5.3,4.9,,
Oregon,2.6,3.4,3.8,3.9,4.1,4.8,-0.458333333
Pennsylvania,2.3,2.6,2.8,2.7,3,3.1,-0.258064516
Rhode Island,1.9,2.8,3.2,2.7,3.1,2.9,-0.344827586
South Carolina,2,2.5,3.2,2.8,3.2,3.8,-0.473684211
South Dakota,2.5,2.8,3,3.1,3.1,3.5,-0.285714286
Tennessee,3.2,3.8,4.2,4.2,4.9,5.9,-0.457627119
Texas,1.5,2.6,3,3.3,3.6,4,-0.625
Utah,3.3,3.6,3.3,3.8,4.1,4.3,-0.23255814
Vermont,2.1,3.1,3.5,3.6,3.9,4.1,-0.487804878
Virginia,2.6,3.4,3.7,3.8,3.9,4.3,-0.395348837
Washington,2.8,3.5,3.9,3.9,4.3,4.6,-0.391304348
West Virginia,3.1,3.8,4.7,4.8,5,5.1,-0.392156863
Wisconsin,2,2.6,2.9,3,3,3.2,-0.375
Wyoming,3.8,4.2,4.4,4.9,5.2,5.8,-0.344827586
Average,2.493478261,3.166666667,3.604444444,3.733333333,3.880434783,4.278723404,-0.448314968
1st Q,2,2.7,3,3,3.1,3.3,-0.486326681
2nd Q,2.44673913,3.166666667,3.5,3.733333333,3.840217391,4.1,-0.41025641
3rd Q,2.9,3.5,4,4.2,4.375,4.8,-0.376388889
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,, ,,,,
